room_area,oak,birch,walnut,cheek,amgis
30,5156593,5123703,5808270,5209217,5100680
31,5233283,5199821,5872672,5286822,5176397
32,5309972,5275938,5937074,5364427,5252114
33,5386662,5352056,6001476,5442031,5327832
34,5463351,5428173,6065878,5519636,5403549
35,5540041,5504291,6130280,5597241,5479266
36,5620620,5583726,6223230,5679651,5557900
37,5701199,5663161,6316180,5762060,5636535
38,5781779,5742597,6409130,5844470,5715169
39,5862358,5822032,6502080,5926879,5793804
40,5942937,5901467,6595030,6009289,5872438
41,6023516,5980902,6641232,6091699,5951072
42,6104095,6060337,6687434,6174108,6029707
43,6184675,6139773,6733636,6256518,6108341
44,6265254,6219208,6779838,6338927,6186976
45,6345833,6298643,6826040,6421337,6265610
46,6422523,6374761,6905990,6498942,6341327
47,6499212,6450878,6985940,6576547,6417044
48,6575902,6526996,7065890,6654151,6492762
49,6652591,6603113,7145840,6731756,6568479
50,6729281,6679231,7225790,6809361,6644196
51,6853262,6802068,7356292,6935172,6766232
52,6977243,6924905,7486794,7060984,6888268
53,7101224,7047742,7617295,7186795,7010305
54,7225205,7170579,7747797,7312607,7132341
55,7349186,7293416,7878299,7438418,7254377
56,7428595,7371681,7964229,7519658,7331841
57,7508004,7449946,8050159,7600897,7409306
58,7587414,7528212,8136089,7682137,7486770
59,7666823,7606477,8222019,7763376,7564235
60,7746232,7684742,8307949,7844616,7641699
61,7822740,7760678,8387717,7922039,7717234
62,7899247,7836613,8467485,7999462,7792769
63,7975755,7912549,8547253,8076884,7868305
64,8052262,7988484,8627021,8154307,7943840
65,8128770,8064420,8706789,8231730,8019375
66,8206749,8141255,8791289,8311540,8095409
67,8284728,8218090,8875789,8391349,8171444
68,8362708,8294926,8960289,8471159,8247478
69,8440687,8371761,9044789,8550968,8323513
70,8518666,8448596,9129289,8630778,8399547
71,8662685,8591471,9280229,8776628,8541621
72,8806704,8734346,9431170,8922477,8683696
73,8950724,8877222,9582110,9068327,8825770
74,9094743,9020097,9733051,9214176,8967845
75,9238762,9162972,9883991,9360026,9109919
76,9311812,9235450,9960301,9433991,9181996
77,9384861,9307927,10036611,9507956,9254073
78,9457911,9380405,10112921,9581920,9326151
79,9530960,9452882,10189231,9655885,9398228
80,9604010,9525360,10265541,9729850,9470305
81,9722894,9643100,10390946,9850564,9587244
82,9841777,9760839,10516350,9971278,9704183
83,9960661,9878579,10641755,10091992,9821122
84,10079545,9996319,10767159,10212706,9938061
85,10198429,10114059,10892564,10333421,10055000
86,10274198,10188684,10974854,10411020,10128824
87,10349967,10263309,11057144,10488620,10202648
88,10425736,10337934,11139434,10566219,10276473
89,10501505,10412559,11221724,10643819,10350297
90,10577275,10487185,11304014,10721419,10424122
91,10726907,10636245,11456907,10871966,10572782
92,10876540,10785306,11609800,11022514,10721442
93,11026172,10934366,11762693,11173062,10870102
94,11175805,11083427,11915586,11323610,11018762
95,11325438,11232488,12068479,11474158,11167423
96,11401467,11307373,12151029,11552017,11241507
97,11477496,11382258,12233579,11629877,11315591
98,11553525,11457143,12316129,11707736,11389676
99,11629554,11532028,12398679,11785596,11463760
100,11705584,11606914,12481229,11863456,11537845
